Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Data Scientist - Business Analytics,Alamy Images India Pvt Ltd,4.2,(12 Reviews),1-6 Yrs,Not disclosed,Remote,"IT Skills
Python
Data Science
Big Data
Prototype
data science
Business analytics
Analytical",IT Skills,Python,Data Science,Big Data,Prototype,data science,Business analytics,Analytical,,3 DAYS AGO,Business Analyst,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Urgent opening For Data Scientists,Sitel India Pvt Ltd,3.9,(520 Reviews),8-11 Yrs,"7,00,000 - 16,00,000 PA.","Mumbai, Hyderabad","Pytorch
Data Science
Supervised Learning
NLP
Natural Language Processing
Keras
Machine Learning
Deep Learning",Pytorch,Data Science,Supervised Learning,NLP,Natural Language Processing,Keras,Machine Learning,Deep Learning,PREFERRED,18 DAYS AGO,,,,,,
Data Scientist,Aptus Health,3.7,(7 Reviews),1-3 Yrs,Not disclosed,Mumbai,"Data Science
Java
Exploratory Data Analysis
Octave
Machine Learning
Deep Learning
SQL",Data Science,Java,Exploratory Data Analysis,Octave,Machine Learning,Deep Learning,SQL,,,30+ DAYS AGO,Software Developer,Medical, Healthcare,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Scientist,INDORAMA VENTURES,4,(63 Reviews),5-10 Yrs,Not disclosed,"Mumbai, Kolkata","Data Science
R Shiny
Python
Predictive Modeling
Advanced Analytics
Data Visualization
Tableau
Data Analytics",Data Science,R Shiny,Python,Predictive Modeling,Advanced Analytics,Data Visualization,Tableau,Data Analytics,PREMIUM,14 DAYS AGO,Other,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Data Engineer - BDM Informatica,TransOrg Analytics,,,2-4 Yrs,Not disclosed,Gurgaon Gurugram,"data mining
Python
Data Science
Data Scientist
R
SQL
Machine learning
Predictive Modeling",data mining ,Python ,Data Science ,Data Scientist ,R ,SQL,Machine learning ,Predictive Modeling ,PREMIUM,7 DAYS AGO,Data Analyst,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Analyst,Mindworks Global Media Services,3.6,(5 Reviews),1-5 Yrs,Not disclosed,Delhi,"Training
data science
Machine learning
HTML
Natural language processing
Data Analyst
Internship
SQL",Training,data science,Machine learning,HTML,Natural language processing,Data Analyst,Internship,SQL,,30+ DAYS AGO,Software Developer,Retail, Wholesale,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Architect-BI,IBS Software Services Pvt.Ltd,4,(185 Reviews),8-14 Yrs,Not disclosed,Kochi,"Data analysis
Data migration
Data management
data science
Data modeling
Corporate
Cloud
Data Architect",Data analysis,Data migration,Data management,data science,Data modeling,Corporate,Cloud,Data Architect,,30+ DAYS AGO,Technical Architect,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Senior Data Scientist (Remote / Work from Home),WalletHub,,,10-20 Yrs,"25,00,000 - 40,00,000 PA.","Delhi NCR, Bengaluru, Hyderabad","Data Science
Machine Learning
Python
Predictive Modeling
Artificial Intelligence",Data Science,Machine Learning,Python,Predictive Modeling,Artificial Intelligence,,,,HOT JOB,16 DAYS AGO,Project Manager-IT/Software,Banking, Financial Services,IT Software - Application Programming,"Full Time, Permanent",Project Management
Data Scientist - Analytics/machine Learning,Recrumart,,,5-8 Yrs,Not disclosed,Bengaluru,"IT Skills
Machine Learning
Product Management
Azure
Data Science
Predictive Modeling
R
Azure",IT Skills,Machine Learning,Product Management,Azure,Data Science,Predictive Modeling,R,Azure,PREMIUM,25 DAYS AGO,Other,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Other
Senior Data Scientist - Internet/Online,e-Hireo Global Pvt Ltd,,,7-12 Yrs,Not disclosed,Bengaluru,"Data Science
SAS
Data Scientist
Data Management
Big Data
Data Warehousing
Data Modeling
Statistics",Data Science,SAS,Data Scientist,Data Management,Big Data,Data Warehousing,Data Modeling,Statistics,PREMIUM,4 DAYS AGO,Analytics Manager,Internet, Ecommerce,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist - Internet/Online,e-Hireo Global Pvt Ltd,,,2-5 Yrs,Not disclosed,Bengaluru,"Data Science
Data Scientist
Data Management
Data Analytics
Analytics",Data Science,Data Scientist,Data Management,Data Analytics,Analytics,,,,PREMIUM,4 DAYS AGO,Data Analyst,Internet, Ecommerce,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist - Analytics Product,Hexaconcepts,,,4-8 Yrs,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
Data Scientist
Data Management
Statistical Modeling
Data Analytics
Machine Learning
Statistics",Data Science,Predictive Modeling,Data Scientist,Data Management,Statistical Modeling,Data Analytics,Machine Learning,Statistics,PREMIUM,4 DAYS AGO,Data Analyst,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist - KPO,Antrors HR Solutions,,,2-5 Yrs,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
NLP
Data Scientist
Artificial Intelligence
Data Management
Statistical Modeling
Data Modeling",Data Science,Predictive Modeling,NLP,Data Scientist,Artificial Intelligence,Data Management,Statistical Modeling,Data Modeling,PREMIUM,4 DAYS AGO,Data Analyst,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist - R/Python,Valuable Consulting,,,6-11 Yrs,Not disclosed,Bengaluru,"IT Skills
Java
Python
Data Science
Machine Learning
Big Data
Data Modelling
SQL",IT Skills,Java,Python,Data Science,Machine Learning,Big Data,Data Modelling, SQL,HOT JOB,,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Lead Data Scientist,Catalyst,,,2-7 Yrs,Not disclosed,Bengaluru,"IT Skills
Testing
Machine Learning
Data Science
Pattern Recognition
Artificial Intelligence AI
Image Processing
Computer Science",IT Skills,Testing,Machine Learning,Data Science,Pattern Recognition,Artificial Intelligence AI,Image Processing,Computer Science,PREMIUM,14 DAYS AGO,DBA,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Admin/Maintenance/Security/Datawarehousing
Lead Data Scientist,TNP CONSULTANCY PRIVATE LIMITED ,,,3-5 Yrs,"5,00,000 - 15,00,000 PA.",Bengaluru,"IT Skills
Python
Testing
Data Science
Machine Learning
Big Data
Tableau
Tensorflow",IT Skills,Python,Testing,Data Science,Machine Learning,Big Data,Tableau,Tensorflow,HOT JOB,6 DAYS AGO,Team Lead/Technical Lead,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
