Title,Title2,starrating,View,Keywords,Salary,Location,Keywords5,Skill1,Skill2,Skill3,Skill4,Skill5,Skll6,Skill7,Skill8,Type,Type13,Role,Industry_Type_1,Industry_Type_2,Functional_Area,Employment_Type,Role_Category
Data Science Product Manager,Talent Connect,,,4-9 Yrs,Not disclosed,"Bengaluru, KA","IT Skills
Python
Data Science
Machine Learning
Artificial Intelligence
Big Data
Machine Learning
Deep Learning and Artificial Intelligence",IT Skills,Python,Data Science,Machine Learning,Artificial Intelligence,Big Data, Machine Learning, Deep Learning and Artificial Intelligence,PREMIUM,24 DAYS AGO,Analytics Manager,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Lead - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,,,4-8 Yrs,Not disclosed,Bengaluru,"Data Science
Predictive Modeling
Artificial Intelligence
Data Management
Statistical Modeling
Machine Learning
Analytics
SQL",Data Science,Predictive Modeling,Artificial Intelligence,Data Management,Statistical Modeling,Machine Learning,Analytics,SQL,PREMIUM,25 DAYS AGO,Analytics Manager,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Engineer/ Data Science Consultant - Business Intelligence Tools,Career Infosystem,,,4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Data Science
Machine Learning
Cloud
Tableau
Power BI
Azure",IT Skills,Python,Data Science,Machine Learning,Cloud,Tableau,Power BI,Azure,PREMIUM,25 DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Global Head - Advanced Analytics/Data Science/Data Engineering - FMCG,Rinalytics Advisors,,,15-20 Yrs,Not disclosed,"Mumbai, Bengaluru","Data Science
AWS analytics
Artificial Intelligence
Data Architect
Data Management
Big Data
big data technologies
Data Visualization",Data Science, AWS analytics,Artificial Intelligence,Data Architect,Data Management,Big Data,big data technologies,Data Visualization,PREMIUM,23 DAYS AGO,Head/VP/GM - Analytics & BI,FMCG, Foods,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Consultant - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,,,4-7 Yrs,Not disclosed,Bengaluru,"Data Science
Clustering
SAS
Linear Regression
Time Series Forecasting
Data Analytics
Logistic Regression
Statistics",Data Science, Clustering,SAS,Linear Regression, Time Series Forecasting,Data Analytics, Logistic Regression,Statistics,PREMIUM,30+ DAYS AGO,Analytics Manager,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Consultant - Data Science - KPO,NovoTree Minds Consulting Pvt. Ltd.,,,4-7 Yrs,Not disclosed,Bengaluru,"Data Science
SAS
Consulting - Telecom
Data Analytics
Statistics
Analytics
SQL
Consulting - Retail",Data Science,SAS,Consulting - Telecom,Data Analytics,Statistics,Analytics,SQL,Consulting - Retail,PREMIUM,30+ DAYS AGO,Data Analyst,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Associate Director - Data Science,ExecBoardinAsia,,,11-15 Yrs,Not disclosed,Bengaluru,"advanced analytics
Data management
data science
big data analytics
Machine learning
Competency development
HR policies
E-commerce",advanced analytics,Data management,data science,big data analytics,Machine learning,Competency development,HR policies,E-commerce,,30+ DAYS AGO,Database Architect/Designer,Recruitment, Staffing,IT Software - eCommerce,"Full Time, Permanent",Programming & Design
Assistant Professor (Grade II) - Data Science (Level-10),Indian Institute of Science Education and Research,4.1,(65 Reviews),,Not disclosed,Pune,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Head Data Science,Waterleaf Consultants Pvt. Ltd. ,,,10-18 Yrs,"40,00,000 - 75,00,000 PA.","Delhi NCR, Hyderabad","Data Science
Statistical Modeling
Machine Learning
IT Skills
Python
Data Science
Big Data
AWS",Data Science,Statistical Modeling,Machine Learning,IT Skills,Python,Data Science,Big Data,AWS,PREMIUM,30+ DAYS AGO,Data Scientist,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Not mentioned
Data Science Engineer - Python/rdbms,Okda Solutions,,,5-10 Yrs,Not disclosed,Hyderabad,"IT Skills
Python
Software Development
HTML
CSS
Javascript
Data Science
Visualization",IT Skills,Python,Software Development,HTML,CSS,Javascript,Data Science,Visualization,PREMIUM,25 DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Science Intern,CourseBricks,,,0-1 Yrs,Not disclosed,Trichy,"Data Science
Natural Language Processing
Computer Vision
Machine Learning
Deep Learning
Python",Data Science,Natural Language Processing,Computer Vision,Machine Learning,Deep Learning,Python,,,,27 DAYS AGO,Fresher,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Hexnbit Trainer - Data Science,Tevatron Technologies Pvt. Ltd.,3,(7 Reviews),0-2 Yrs,Not disclosed,Delhi NCR,"electronics
embedded systems
Software Programmer
Sensors
Internet of Things
MCU",electronics,embedded systems,Software Programmer,Sensors,Internet of Things,MCU,,,,18 DAYS AGO,Trainer,Semiconductors, Electronics,Teaching,"Full Time, Permanent",Teachers
Looking For data science 0-1  internship/ experience,BRAINS N SKILLS  ,,,0-1 Yrs,"1,00,000 - 2,50,000 PA.",Bengaluru,"IT Skills
Python
Machine Learning
data science
machine learning algorithms
data wrangling",IT Skills,Python,Machine Learning,data science,machine learning algorithms,data wrangling,,,,15 DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Excellent opportunity For AI (Data Science Focus),T2 Innovations    ,,,3-8 Yrs,Not disclosed,Chennai,"Data Science
Java
Algorithm Development
NLP
Artificial Intelligence
Image Processing
Natural Language Processing
AI",Data Science,Java,Algorithm Development,NLP,Artificial Intelligence,Image Processing,Natural Language Processing,AI,PREMIUM,30+ DAYS AGO,IT/Technical Content Developer,Travel , Hotels ,IT Software - Application Programming,"Full Time, Permanent",Other
Excellent opportunity For AI (Data Science Focus),T2 Innovations    ,,,3-8 Yrs,Not disclosed,Chennai,"Data Science
Java
Algorithm Development
NLP
Artificial Intelligence
Image Processing
Natural Language Processing
AI",Data Science,Java,Algorithm Development,NLP,Artificial Intelligence,Image Processing,Natural Language Processing,AI,PREMIUM,30+ DAYS AGO,IT/Technical Content Developer,Travel , Hotels ,IT Software - Application Programming,"Full Time, Permanent",Other
Data Science Engineer,Bigshyft Hiring for biz2credit,,,2-5 Yrs,"8,00,000 - 18,00,000 PA.",Noida,"MySQL
Natural Language Processing NLP
Machine Learning ML
Python",MySQL,Natural Language Processing NLP,Machine Learning ML,Python,,,,,PREMIUM,19 DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Lead Data Science,Bigshyft Hiring for Worley,,,10-14 Yrs,"35,00,000 - 45,00,000 PA.",Mumbai,"R
Artificial Intelligence AI
Machine Learning ML
Deep Learning
Python",R,Artificial Intelligence AI,Machine Learning ML,Deep Learning,Python,,,,PREMIUM,9 DAYS AGO,Software Developer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Senior Associate Director - Data Science - Insurance - IIT/IIM/NIT,Huquo Consulting Pvt. Ltd,,,9-14 Yrs,Not disclosed,Gurgaon Gurugram,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science",IT Skills,Python,Data Science,Machine Learning,Project Management,BPO,project management,Data Science,PREMIUM,30+ DAYS AGO,CEO/MD/Director,IT-Software, Software Services,Top Management,"Full Time, Permanent",Other
Sr Vice President- Analytics- Data Science Team- Insurance,Huquo Consulting Pvt. Ltd,,,8-13 Yrs,Not disclosed,Gurgaon,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science",IT Skills,Python,Data Science,Machine Learning,Project Management,BPO,project management,Data Science,PREMIUM,30+ DAYS AGO,Head/VP/GM - Analytics & BI,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Sr Associate Director - Data Science - Insurance - IIT/ IIM/ NIT/ XLRI,Huquo Consulting Pvt. Ltd,,,7-12 Yrs,Not disclosed,Gurgaon,"IT Skills
Python
Data Science
Machine Learning
Project Management
BPO
project management
Data Science",IT Skills,Python,Data Science,Machine Learning,Project Management,BPO,project management,Data Science,PREMIUM,30+ DAYS AGO,CEO/MD/Director,IT-Software, Software Services,Top Management,"Full Time, Permanent",Other
NLP Engineer - Data Science/Python,imdNEXT Consulting Services,,,1-2 Yrs,Not disclosed,Mumbai,"IT Skills
Python
Data Science
Machine Learning
Data Science
NLP
Statistical Modeling
Statistical Analyst",IT Skills,Python,Data Science,Machine Learning,Data Science,NLP,Statistical Modeling,Statistical Analyst,PREMIUM,30+ DAYS AGO,Business Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Global Head - Advanced Analytics/Data Science/Data Engineering ,Rinalytics Advisors,,,15-20 Yrs,Not disclosed,Mumbai,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics",Data Science,Artificial Intelligence,Data Architect,Data Management,Big Data,Data Visualization,Data Analytics,Analytics,PREMIUM,30+ DAYS AGO,Head/VP/GM - Analytics & BI,FMCG, Foods,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Global Head - Advanced Analytics/Data Science/Data Engineering ,Rinalytics Advisors,,,15-20 Yrs,Not disclosed,Mumbai,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics",Data Science,Artificial Intelligence,Data Architect,Data Management,Big Data,Data Visualization,Data Analytics,Analytics,PREMIUM,30+ DAYS AGO,Head/VP/GM - Analytics & BI,FMCG, Foods,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Global Head - Advanced Analytics/Data Science,Rinalytics Advisors,,,15-20 Yrs,Not disclosed,Mumbai,"Data Science
Artificial Intelligence
Data Architect
Data Management
Big Data
Data Visualization
Data Analytics
Analytics",Data Science,Artificial Intelligence,Data Architect,Data Management,Big Data,Data Visualization,Data Analytics,Analytics,PREMIUM,30+ DAYS AGO,Head/VP/GM - Analytics & BI,FMCG, Foods,Analytics & Business Intelligence,"Full Time, Permanent",Senior Management
Team Lead/Consultant-Data Science,Accenture Solutions Pvt Ltd,4,(15236 Reviews),7-11 Yrs,Not disclosed,Mumbai,"IT Skills
Data Science
Machine Learning
Artificial Intelligence
Project Management
BPO
project management
Publishing",IT Skills,Data Science,Machine Learning,Artificial Intelligence,Project Management,BPO,project management,Publishing,PREFERRED,24 DAYS AGO,,,,,,
Data Science Engineer,NetApp,4.2,(97 Reviews),5-10 Yrs,Not disclosed,Bengaluru,"Text mining
NoSQL
Coding
cassandra
Time series analysis
Machine learning
application architecture
High level design",Text mining,NoSQL,Coding,cassandra,Time series analysis,Machine learning,application architecture,High level design,PREMIUM,15 DAYS AGO,,,,,,
Professor - Data Sciences,Indian Institute of Science Education and Research Kolkata,4.1,(65 Reviews),,Not disclosed,Kolkata,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Data Science Trainer,Naresh i Technologies,3.5,(23 Reviews),5-10 Yrs,"3,00,000 - 7,00,000 PA.",Hyderabad,"Robot Programming
Artificial Intelligence
Natural Language Processing
Neural Networks
Machine Learning
Statistics
Deep Learning
Python",Robot Programming,Artificial Intelligence,Natural Language Processing,Neural Networks,Machine Learning,Statistics,Deep Learning,Python,,20 DAYS AGO,Trainer,Education, Teaching,Teaching,"Part Time, Permanent",Teachers
Urgently Looking For Data Science Trainer | Noida,Careerera,,,3-8 Yrs,Not disclosed,Noida,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Corporate Trainer
Trainer",IT Skills,Java,Python,Data Science,Machine Learning,Data Science,Corporate Trainer,Trainer,,23 DAYS AGO,Trainer/Faculty,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Other
Data Science Trainer | Noida |,Careerera,,,4-8 Yrs,Not disclosed,Noida,"IT Skills
Java
Python
Data Science
Machine Learning
Data Science
Corporate Trainer
Trainer",IT Skills,Java,Python,Data Science,Machine Learning,Data Science,Corporate Trainer,Trainer,,24 DAYS AGO,Trainer/Faculty,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Other
Inside Sales Executive | Education Sales | PMP| Data Science | AI,Careerera,,,1-3 Yrs,Not disclosed,Noida,"IT Skills
Data Science
inside sales
pmp
Credit Collection
Recovery
cissp
itil",IT Skills,Data Science,inside sales,pmp,Credit Collection,Recovery,cissp,itil,,24 DAYS AGO,Sales/Business Development Manager,IT-Software, Software Services,Sales,"Full Time, Permanent",Retail Sales
Data Science Architect,"	Morgan Stanley Advantage Services",3.4,(208 Reviews),10-15 Yrs,Not disclosed,Bengaluru,"Data management
Simulation
RDBMS
XML
OLAP
JSON
Informatica
Investment banking",Data management,Simulation,RDBMS,XML,OLAP,JSON,Informatica,Investment banking,,30+ DAYS AGO,Technical Architect,Banking, Financial Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Optimization,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,,,3-6 Yrs,Not disclosed,"Jamshedpur, Mumbai, Bengaluru","Simulation
Aviation
Formulation
Scheduling
HTML
HTTP
Information management
Information technology",Simulation,Aviation,Formulation,Scheduling,HTML,HTTP,Information management,Information technology,,30+ DAYS AGO,Software Developer,KPO, Research,IT Software - Other,"Full Time, Permanent",Programming & Design
"Senior Manager, Data Science",ExecBoardinAsia,,,5-10 Yrs,Not disclosed,Bengaluru,"Operations research
Business consulting
Primary research
data science
Analytical
Demand forecasting
Machine learning
Product design",Operations research,Business consulting,Primary research,data science,Analytical,Demand forecasting,Machine learning,Product design,,30+ DAYS AGO,Outside Consultant,Recruitment, Staffing,IT Software - Application Programming,"Full Time, Permanent",Other
Associate - Data Science,Aidetic Software,,,1-3 Yrs,Not disclosed,Bengaluru,"IT Skills
Python
Software Development
Data Science
Machine Learning
Data Science
Tensorflow
Pandas",IT Skills,Python,Software Development,Data Science,Machine Learning,Data Science,Tensorflow,Pandas,HOT JOB,20 DAYS AGO,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Optimization,TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,,,3-6 Yrs,Not disclosed,"Jamshedpur, Mumbai, Bengaluru","Simulation
Aviation
Formulation
Scheduling
HTML
HTTP
Information management
Information technology",Simulation,Aviation,Formulation,Scheduling,HTML,HTTP,Information management,Information technology,,30+ DAYS AGO,Software Developer,KPO, Research,IT Software - Other,"Full Time, Permanent",Programming & Design
Assistant Professor - Including Data Science,Indraprastha Institute of Information Technology Delhi,4.3,(6 Reviews),,Not disclosed,Delhi,,,,,,,,,,GOVERNMENT,30+ DAYS AGO,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Data Science Online Trainer,Prognoz,,,1-6 Yrs,Not disclosed,Bihar,Data Science Online Trainer,Data Science Online Trainer,,,,,,,,,30+ DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Assistant Professor (Grade II) - Data Science,Indian Institute of Science Education and Research,4.1,(65 Reviews),,Not disclosed,Pune,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor (Grade I) - Data Science,Indian Institute of Science Education and Research,4.1,(65 Reviews),,Not disclosed,Pune,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Associate Professor - Data Science,Indian Institute of Science Education and Research,4.1,(65 Reviews),,Not disclosed,Pune,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Professor - Data Science,Indian Institute of Science Education and Research,4.1,(65 Reviews),,Not disclosed,Pune,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor (Contract) - Data Sciences & Business Analytics,Indian Institute of Technology Kanpur,4.3,(161 Reviews),,Not disclosed,Kanpur,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Associate Professor - Data Analytics and Data Sciences (RA-1),Indian Institute of Technology Delhi,4.3,(161 Reviews),,Not disclosed,Delhi,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Professor - Data Analytics and Data Sciences (RA-1),Indian Institute of Technology Delhi,4.3,(161 Reviews),,Not disclosed,Delhi,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Associate Professor - Data Sciences,Indian Institute of Science Education and Research Kolkata,4.1,(65 Reviews),,Not disclosed,Kolkata,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor (Grade I) - Data Analytics And Data Sciences,Indian Institute of Technology Delhi,4.3,(161 Reviews),,Not disclosed,Delhi,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor (Contract)-01 year - Data Science and Engineering,"Indian Institute of Information Technology, Design and Manufacturing Jabalpur",,,,Not disclosed,Jabalpur,,,,,,,,,,GOVERNMENT,30+ DAYS AGO,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor (On Contract) - Data Science and Engineering,"Indian Institute of Information Technology, Design and Manufacturing Jabalpur",,,,Not disclosed,Jabalpur,,,,,,,,,,GOVERNMENT,30+ DAYS AGO,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Associate Data Scientist (Academic Expert),GREAT LAKES E-LEARNING SERVICES PRIVATE LIMITED,,,0-4 Yrs,"6,50,000 - 12,00,000 PA.","Delhi NCR, Bengaluru","Data Science
Pattern Recognition
Business Analytics
Artificial Intelligence
Data Interpretation
Advanced Analytics
Data Analysis
Aiml",Data Science,Pattern Recognition,Business Analytics,Artificial Intelligence,Data Interpretation,Advanced Analytics,Data Analysis,Aiml,HOT JOB,4 DAYS AGO,Data Analyst,Education, Teaching,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Post Doctoral Fellows - Data Science & Big Data,Indian Institute of Technology Delhi,4.3,(161 Reviews),,Not disclosed,Delhi,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Assistant Professor Grade-I - Data Sciences,Indian Institute of Science Education and Research Kolkata,4.1,(65 Reviews),,Not disclosed,Kolkata,,,,,,,,,,GOVERNMENT,,Not mentioned,Education, Teaching,Teaching,"Full Time, Permanent",Not mentioned
Data Science Specialist / Senior Specialist,MAVEN WAVE PARTNERS (INDIA)PVT. LTD.,3.8,(5 Reviews),3-6 Yrs,Not disclosed,"Chandigarh, Gurgaon","IT Skills
Python
Testing
Data Science
Machine Learning
Cloud
AWS
Azure",IT Skills,Python,Testing,Data Science,Machine Learning,Cloud,AWS,Azure,,30+ DAYS AGO,Team Lead/Technical Lead,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Data Science Manager-R&D,Flytxt,,,5-10 Yrs,Not disclosed,Trivandrum,"Computer science
deep learning
spark
Artificial Intelligence
Intellectual property
Machine learning
Research
Open source",Computer science,deep learning,spark,Artificial Intelligence,Intellectual property,Machine learning,Research,Open source,,30+ DAYS AGO,R&D Executive,IT-Software, Software Services,Engineering Design,"Full Time, Permanent",R&D
Data Science Manager-R&D,Flytxt,,,5-10 Yrs,Not disclosed,Trivandrum,"Computer science
deep learning
spark
Artificial Intelligence
Intellectual property
Machine learning
Research
Open source",Computer science,deep learning,spark,Artificial Intelligence,Intellectual property,Machine learning,Research,Open source,,30+ DAYS AGO,R&D Executive,IT-Software, Software Services,Engineering Design,"Full Time, Permanent",R&D
Director of Data Science,WRS Info India Pvt. Ltd.,,,5-10 Yrs,Not disclosed,Noida,"technical
SAS
strategies
Defines
analytic
Matlab
SQL
Python",technical,SAS,strategies,Defines,analytic,Matlab,SQL,Python,,30+ DAYS AGO,Database Architect/Designer,Internet, Ecommerce,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Immediate opening For Data Scientist/Data Analyst,CAIA-Center For Artificial Intelligence & Advanced Analytics,,,0-3 Yrs,"3,50,000 - 4,50,000 PA.","Chennai, Pune, Bengaluru, Hyderabad","Business Intelligence
Artificial Intelligence
Natural Language Processing
Neural Networks
Data Mining
Machine Learning
Deep Learning
SQL",Business Intelligence,Artificial Intelligence,Natural Language Processing,Neural Networks,Data Mining,Machine Learning,Deep Learning,SQL,HOT JOB,17 DAYS AGO,Business Analyst,BPO, Call Centre,IT Software - DBA,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Data Analyst:  Fresher’s with Data Analyst Certification.,GDA Security pvt ltd,4.5,(4 Reviews),0-0 Yrs,"4,00,000 PA.",Bengaluru,"Data Science
R
Excel
SAS
Data Analysis
Tableau
Statistics
Python",Data Science,R,Excel,SAS,Data Analysis,Tableau,Statistics,Python,HOT JOB,4 DAYS AGO,Data Analyst,Other,,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Scientist - Image Processing/ Machine Learning,CarbyneTech India,3.1,(7 Reviews),6-11 Yrs,Not disclosed,Hyderabad,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Statistical Analyst
Machine Learning",Predictive Modeling,Data Science,Data Scientist,Time Series Analysis,Image Processing,Data Management,Statistical Analyst,Machine Learning,PREMIUM,11 DAYS AGO,Data Analyst,Accounting, Finance,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Sciences Engineer - Big Data,Talpro,,,2-5 Yrs,Not disclosed,"Delhi NCR, Bengaluru","IT Skills
Big Data
Data Sciences Engineer
DBA
Data Management
Big Data",IT Skills,Big Data,Data Sciences Engineer,DBA,Data Management,Big Data,,,PREMIUM,25 DAYS AGO,Database Architect/Designer,IT-Software, Software Services,IT Software - DBA,"Full Time, Permanent",Programming & Design
Data Architect/Engineering/Science,Visa,3.5,(21 Reviews),9-14 Yrs,Not disclosed,Bengaluru,"IT Skills
Java
Machine Learning
Cloud
Big Data
Unix
Computer science
Core Java",IT Skills,Java,Machine Learning,Cloud,Big Data,Unix,Computer science,Core Java,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Junior Data Scientist/Junior Data Analyst,ADF Data Science Private Limited,3.4,(8 Reviews),1-2 Yrs,Not disclosed,Chennai,"IT Skills
Python
Data Science
Machine Learning
Data Science
R
Computer Science
Data Analysis",IT Skills,Python,Data Science,Machine Learning,Data Science,R,Computer Science,Data Analysis,HOT JOB,,Data Analyst,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Principal Data Scientist - Machine/Deep Learning - NLP/Tensorflow,Fidius advisory,,,8-13 Yrs,Not disclosed,Bengaluru,"IT Skills
Testing
Data Science
Machine Learning
Product Management
Tensorflow
NLP
PyTorch",IT Skills,Testing,Data Science,Machine Learning,Product Management,Tensorflow,NLP,PyTorch,PREMIUM,4 DAYS AGO,Analytics Manager,IT-Software, Software Services,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Data Science Engineer,Arsia Consulting  ,,,3-5 Yrs,"7,00,000 - 10,00,000 PA.",Chennai,"IT Skills
Testing
Data Science
Machine Learning
Power BI
Azure
2",IT Skills,Testing,Data Science,Machine Learning,Power BI,Azure,2,,,26 DAYS AGO,Subject Matter Expert,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Technical Program Manager - Data Science (nlp)/ MNC Bpo/mumbai,Advent HR Solutions,,,5-10 Yrs,"7,00,000 - 17,00,000 PA.",Mumbai,"Data Science
Program Management
NLP
Machine Learning
Statistical Analysis
Deep Learning",Data Science,Program Management,NLP,Machine Learning,Statistical Analysis,Deep Learning,,,,30 DAYS AGO,Program Manager,BPO, Call Centre,IT Software - Application Programming,"Full Time, Permanent",Senior Management
Only Fresher / Data Scientist / Data Analyst / Business Analytics- MNC,GABA Consultancy services ,,,0-0 Yrs,"2,25,000 - 4,75,000 PA.","Delhi NCR, Ghaziabad, Gurgaon","O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher",O2C,fresher data analyst,Power Bi,Banking,Data Management,Tableau,Marketing Analytics,graduate fresher,,14 DAYS AGO,Fresher,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Only Fresher / Data Scientist / Data Analyst / Business Analytics- MNC,GABA Consultancy services ,,,0-0 Yrs,"2,25,000 - 4,75,000 PA.","Faridabad, Delhi NCR, Greater Noida","O2C
fresher data analyst
Power Bi
Banking
Data Management
Tableau
Marketing Analytics
graduate fresher",O2C,fresher data analyst,Power Bi,Banking,Data Management,Tableau,Marketing Analytics,graduate fresher,,3 DAYS AGO,Fresher,KPO, Research,Analytics & Business Intelligence,"Full Time, Permanent",Other
Data Scientist - Image Processing/Machine Learning,CarbyneTech India,3.1,(7 Reviews),6-11 Yrs,Not disclosed,Hyderabad,"Predictive Modeling
Data Science
Data Scientist
Time Series Analysis
Image Processing
Data Management
Machine Learning
Predictive Analytics",Predictive Modeling,Data Science,Data Scientist,Time Series Analysis,Image Processing,Data Management,Machine Learning,Predictive Analytics,PREMIUM,11 DAYS AGO,Data Analyst,Accounting, Finance,Analytics & Business Intelligence,"Full Time, Permanent",Analytics & BI
Senior Data Scientist,Infoblox,4,(15 Reviews),4-9 Yrs,Not disclosed,Bengaluru,"IT Skills
Java
Python
Data Science
Machine Learning
Elastic Search
Big Data
AWS",IT Skills,Java,Python,Data Science,Machine Learning,Elastic Search,Big Data,AWS,,11 DAYS AGO,Technical Architect,IT-Software, Software Services,IT Software - Other,"Full Time, Permanent",Programming & Design
Sr . Data Scientist I,General Mills,4.2,(221 Reviews),12-17 Yrs,Not disclosed,Mumbai,"Computer science
Data analysis
data science
Machine learning
PLSQL
Mathematics
Statistics
Operations",Computer science,Data analysis,data science,Machine learning,PLSQL,Mathematics,Statistics,Operations,,4 DAYS AGO,Outside Technical Consultant,FMCG, Foods,IT Software - System Programming,"Full Time, Permanent",System Design/Implementation/ERP/CRM
Data Scientist Intern,zBliss Technologies,,,0-2 Yrs,Not disclosed,"Chennai, Bengaluru","Data analysis
Data management
data science
Intern
Coding
Project management
Machine learning
Healthcare",Data analysis,Data management,data science,Intern,Coding,Project management,Machine learning,Healthcare,,30+ DAYS AGO,Software Developer,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
Lead Data Scientist,Leading Data Science Firm,,,7-12 Yrs,Not disclosed,"Chennai, Mumbai, Bengaluru, Hyderabad","Data Science
R
Python
Team Management
Process Documentation
Algorithms
Artificial Intelligence
Scripting Languages",Data Science,R,Python,Team Management,Process Documentation,Algorithms,Artificial Intelligence,Scripting Languages,HOT JOB,10 DAYS AGO,Data Scientist,Strategy, Management Consulting Firms,IT Software - Other,"Full Time, Permanent",Not mentioned
Jr. Data Scientist,Wings Infonet Pvt. Ltd.,4,(22 Reviews),0-2 Yrs,"2,00,000 PA.",Hyderabad(Basheer Bagh),"Data Science
Business Intelligence
Research Analysis
Business Insights",Data Science,Business Intelligence,Research Analysis,Business Insights,,,,,HOT JOB,3 DAYS AGO,Technical Architect,IT-Software, Software Services,IT Software - Application Programming,"Full Time, Permanent",Programming & Design
